iter	Passed	Remaining
222	685	2389
223	688	2384
224	690	2377
225	692	2371
226	694	2366
227	697	2361
228	699	2355
229	701	2350
230	704	2344
231	706	2339
232	709	2334
233	711	2329
234	713	2323
235	716	2318
236	718	2313
237	721	2308
238	723	2304
239	725	2298
240	727	2292
241	730	2287
242	732	2281
243	735	2277
244	737	2271
245	739	2266
246	741	2261
247	744	2256
248	746	2250
249	748	2246
250	751	2241
251	753	2236
252	755	2230
253	757	2225
254	760	2221
255	762	2216
256	764	2211
257	767	2206
258	769	2201
259	771	2196
260	773	2191
261	776	2186
262	778	2180
263	780	2175
264	782	2170
265	784	2165
266	786	2160
267	789	2156
268	791	2151
269	793	2145
270	795	2141
271	797	2135
272	799	2130
273	802	2125
274	804	2121
275	806	2116
276	809	2111
277	811	2106
278	813	2102
279	815	2098
280	818	2095
281	821	2090
282	823	2086
283	825	2081
284	827	2076
285	829	2071
286	831	2066
287	833	2061
288	835	2055
289	837	2050
290	839	2045
291	841	2040
292	844	2036
293	845	2031
294	847	2026
295	849	2021
296	851	2016
297	853	2011
298	855	2006
299	858	2002
300	860	1997
301	862	1993
302	864	1988
303	866	1983
304	868	1978
305	870	1974
306	872	1969
307	874	1965
308	876	1960
309	878	1956
310	880	1951
311	882	1946
312	885	1943
313	887	1938
314	889	1934
315	891	1929
316	893	1925
317	895	1920
318	897	1916
319	899	1912
320	901	1907
321	903	1902
322	905	1898
323	907	1893
324	909	1889
325	911	1885
326	913	1880
327	915	1876
328	918	1872
329	919	1867
330	921	1863
331	923	1858
332	926	1855
333	928	1850
334	930	1846
335	931	1841
336	933	1837
337	935	1833
338	937	1828
339	940	1825
340	942	1821
341	944	1817
342	946	1813
343	948	1809
344	950	1805
345	954	1803
346	955	1798
347	958	1795
348	959	1790
349	962	1786
350	964	1782
351	966	1779
352	968	1775
353	970	1771
354	972	1767
355	974	1763
356	977	1760
357	979	1756
358	981	1752
359	984	1749
360	985	1745
361	987	1741
362	990	1737
363	992	1733
364	994	1730
365	997	1727
366	999	1723
367	1001	1719
368	1003	1715
369	1005	1711
370	1008	1709
371	1010	1706
372	1012	1702
373	1014	1697
374	1016	1693
375	1018	1689
376	1020	1686
377	1022	1682
378	1024	1678
379	1026	1674
380	1028	1670
381	1030	1666
382	1032	1663
383	1034	1659
384	1037	1656
385	1039	1652
386	1041	1648
387	1043	1645
388	1045	1642
389	1048	1640
390	1050	1636
391	1054	1635
392	1057	1632
393	1059	1629
394	1061	1625
395	1063	1622
396	1065	1619
397	1069	1616
398	1070	1612
399	1072	1609
400	1074	1605
401	1077	1602
402	1079	1599
403	1083	1597
404	1085	1594
405	1087	1591
406	1090	1588
407	1092	1585
408	1095	1583
409	1098	1580
410	1100	1576
411	1102	1573
412	1105	1571
413	1107	1568
414	1114	1571
415	1120	1573
416	1123	1570
417	1128	1571
418	1136	1575
419	1142	1577
420	1145	1575
421	1147	1571
422	1149	1568
423	1151	1564
424	1154	1562
425	1157	1559
426	1159	1555
427	1161	1552
428	1163	1548
429	1165	1544
430	1169	1543
431	1172	1541
432	1174	1538
433	1176	1534
434	1178	1530
435	1180	1526
436	1182	1523
437	1185	1521
438	1187	1517
439	1189	1513
440	1191	1510
441	1193	1506
442	1195	1503
443	1197	1500
